BERRUECOS-52040160
SANDONA-52050040
CHILES-52050130
CRUZ LA-52030090
CUMBAL-52050110
EL PARAISO - AUT-52055220
JUNIN-51020010
LLANO VERDE-52070030
MAMACONDE-52010060
MONOPAMBA-47015080
SANDE EL-52060050
SANTA ISABEL-47010230
SANTA ROSA POTOSI-52050190
TANGUA-52050080
VERGEL EL-52060040
VIENTO LIBRE - AUT-52035040
WILQUIPAMBA-52045070

BARBACOAS-52065020
CCCP DL PACIFICO-51035020
CHARCO EL-53020010
MAGUI-52070010
MOSQUERA-53010020
COCO EL-51030020
GRANJA EL MIRA - - AUT-51025090
GUAYACANA LA-51020050
SALAHONDA-52090010
SAN JOSE DE TAPAJE-53020020
