FechaMensual,CodigoEstacion,Valor
2012-09-01,52040160,14.0
2012-10-01,52040160,172.8
2012-11-01,52040160,283.3
2013-01-01,52040160,63.2
2013-02-01,52040160,361.6
2013-03-01,52040160,103.0
2013-04-01,52040160,111.9
2013-05-01,52040160,263.0
2013-06-01,52040160,17.0
2013-07-01,52040160,15.9
2013-08-01,52040160,19.0
2013-09-01,52040160,21.8
2013-10-01,52040160,185.2
2013-11-01,52040160,185.5
2013-12-01,52040160,363.5
2014-01-01,52040160,206.0
2014-02-01,52040160,122.4
2014-03-01,52040160,209.2
2014-04-01,52040160,84.5
2014-05-01,52040160,321.5
2014-06-01,52040160,57.8
2014-07-01,52040160,14.5
2014-08-01,52040160,6.3
2014-09-01,52040160,68.3
2014-10-01,52040160,221.3
2014-11-01,52040160,254.1
2014-12-01,52040160,331.8
2015-01-01,52040160,133.2
2015-02-01,52040160,51.1
2015-03-01,52040160,232.2
2015-04-01,52040160,144.3
2015-05-01,52040160,40.2
2015-06-01,52040160,12.1
2015-07-01,52040160,10.8
2015-08-01,52040160,2.5
2015-09-01,52040160,5.3
2015-10-01,52040160,139.8
2015-11-01,52040160,302.9
2015-12-01,52040160,0.0
2006-01-01,51035020,276.4
2006-02-01,51035020,488.9
2006-03-01,51035020,200.4
2006-04-01,51035020,131.0
2006-05-01,51035020,93.3
2006-06-01,51035020,258.7
2006-07-01,51035020,79.7
2006-08-01,51035020,79.3
2006-09-01,51035020,231.9
2006-10-01,51035020,153.7
2006-11-01,51035020,354.4
2006-12-01,51035020,75.4
2007-01-01,51035020,220.5
2007-02-01,51035020,156.3
2007-03-01,51035020,317.4
2007-04-01,51035020,343.9
2007-05-01,51035020,858.1
2007-06-01,51035020,451.2
2007-07-01,51035020,101.1
2007-08-01,51035020,137.9
2007-09-01,51035020,20.7
2007-10-01,51035020,144.5
2007-11-01,51035020,56.7
2007-12-01,51035020,150.7
2008-01-01,51035020,496.2
2008-02-01,51035020,218.7
2008-03-01,51035020,440.0
2008-04-01,51035020,153.7
2008-05-01,51035020,304.7
2008-06-01,51035020,196.7
2008-07-01,51035020,193.8
2008-08-01,51035020,296.3
2008-09-01,51035020,119.0
2008-10-01,51035020,156.7
2008-11-01,51035020,93.7
2008-12-01,51035020,216.6
2009-01-01,51035020,458.8
2009-02-01,51035020,304.5
2009-03-01,51035020,209.0
2009-04-01,51035020,385.9
2009-05-01,51035020,138.9
2009-06-01,51035020,21.1
2009-07-01,51035020,88.2
2009-08-01,51035020,162.6
2009-09-01,51035020,17.2
2009-10-01,51035020,157.7
2009-11-01,51035020,20.1
2009-12-01,51035020,220.5
2010-01-01,51035020,608.3
2010-02-01,51035020,349.9
2010-03-01,51035020,289.5
2010-04-01,51035020,414.6
2010-05-01,51035020,168.4
2010-06-01,51035020,387.6
2010-07-01,51035020,175.4
2010-08-01,51035020,79.8
2010-09-01,51035020,225.9
2010-10-01,51035020,25.7
2010-12-01,51035020,570.1
2011-01-01,51035020,362.1
2011-02-01,51035020,112.3
2011-03-01,51035020,176.6
2011-04-01,51035020,289.4
2011-05-01,51035020,135.4
2011-06-01,51035020,178.9
2011-07-01,51035020,326.3
2011-08-01,51035020,149.2
2011-09-01,51035020,45.4
2011-10-01,51035020,113.4
2011-11-01,51035020,5.7
2011-12-01,51035020,92.5
2012-01-01,51035020,443.5
2012-02-01,51035020,258.8
2012-03-01,51035020,60.2
2012-04-01,51035020,128.6
2012-05-01,51035020,526.9
2012-06-01,51035020,227.0
2012-07-01,51035020,59.4
2012-08-01,51035020,6.3
2012-09-01,51035020,28.7
2012-10-01,51035020,47.9
2012-11-01,51035020,46.0
2012-12-01,51035020,38.8
